Membership No  Date Joined  Active  
    46385      2020-11-3    no    
    72955      2018-5-13    no    
    92080      2015-4-25    no    
    96892      2015-12-21   no    
    82653      2020-3-5     no    
    32395      2020-5-3     no    
    59774      2019-6-24    no    
    99573      2019-11-24   no    
    97819      2019-4-13    no    
    31843      2018-8-1     no    
    71910      2016-5-2     no    
    27922      2018-11-12   no    
    44205      2018-12-19   no    
    49234      2020-10-14   no    
    87047      2017-7-23    no    
